date,close,open,high,low,volume
2010-12-09,144.330002,146.59,146.62,143.0,4161600
2010-12-10,147.360001,145.32,147.63,144.13,3675200
2010-12-13,145.630005,149.21,149.21,145.5,3364800
2010-12-14,146.240005,146.78,148.23,145.17,3203200
2010-12-15,144.75,146.12,148.84,143.5,3982400
2010-12-16,147.770004,144.9,148.54,144.0,3588800
2010-12-17,148.220001,148.24,149.5,147.43,2550400
2010-12-20,148.619995,149.0,150.2,145.4,5256000
2010-12-21,151.070007,150.34,151.14,149.19,1400000
2010-12-22,151.229996,151.09,151.85,150.46,1800000
2010-12-23,150.080002,150.44,151.05,149.1,1536000
2010-12-27,150.139999,148.87,151.0,145.7,2673600
2010-12-28,149.490005,151.26,151.39,148.47,2644800
2010-12-29,150.380005,150.81,151.22,150.0,1894400
2010-12-30,149.25,150.44,150.48,148.5,1198400
2010-12-31,147.880005,148.92,148.92,145.69,2030400
2011-01-03,154.559998,151.81,157.61,151.79,5563200
2011-01-04,154.320007,156.5,156.54,151.37,5480000
2011-01-05,158.149994,152.79,158.22,152.59,5120000
2011-01-06,159.580002,158.71,159.95,157.73,4355200
2011-01-07,159.210007,160.39,160.66,154.59,6350400
2011-01-10,161.0,158.0,161.81,156.95,3585600
2011-01-11,161.740005,162.96,163.31,160.09,4580800
2011-01-12,165.020004,163.98,165.12,162.09,5587200
2011-01-13,165.539993,165.61,166.55,163.95,5476800
2011-01-14,169.130005,165.46,169.18,164.38,2553600
2011-01-18,170.479996,164.81,171.0,164.53,5755200
2011-01-19,164.770004,171.35,171.35,163.06,6248000
2011-01-20,161.070007,162.8,163.21,157.4,7894400
2011-01-21,157.389999,163.42,164.4,157.28,4368000
2011-01-24,163.889999,158.27,164.03,157.43,3601600
2011-01-25,164.460007,161.68,164.68,160.5,3993600
2011-01-26,167.009995,165.52,168.56,163.99,4140800
2011-01-27,170.229996,168.97,171.65,168.05,4640000
2011-01-28,157.389999,170.29,170.61,155.13,10606400
2011-01-31,159.720001,158.01,160.92,154.5,6665600
2011-02-01,168.589996,163.4,169.7,162.78,8476800
2011-02-02,167.830002,167.7,169.56,166.77,3838400
2011-02-03,168.479996,166.9,169.39,162.87,5481600
2011-02-04,171.520004,168.91,171.8,167.38,5664000
2011-02-07,174.009995,172.59,176.69,171.74,4324800
2011-02-08,177.72,174.07,177.72,173.2,348804
2011-02-09,176.639999,176.54,178.1,174.91,5433600
2011-02-10,177.5,173.7,177.86,172.5,5920000
2011-02-11,181.139999,175.86,181.25,175.0,3939200
2011-02-14,182.279999,181.1,183.12,180.62,2484800
2011-02-15,181.809998,181.27,182.21,179.22,3884800
2011-02-16,185.169998,183.24,186.63,182.97,5880000
2011-02-17,185.009995,182.44,186.0,182.1,3614400
2011-02-18,183.960007,185.12,185.86,181.77,5340800
2011-02-22,167.759995,176.62,178.0,167.0,10076800
2011-02-23,163.619995,167.71,169.51,159.86,8094400
2011-02-24,165.949997,164.77,167.6,160.0,13355200
2011-02-25,86.529999,84.52,86.89,84.28,4514400
2011-02-28,87.160004,87.52,88.38,85.59,4346400
2011-03-01,82.970001,88.33,88.33,82.25,5120800
2011-03-02,84.139999,82.81,85.85,82.74,4754400
2011-03-03,89.160004,86.59,89.62,86.58,5534400
2011-03-04,87.839996,89.2,89.2,86.1,4559200
2011-03-07,84.339996,88.94,89.09,81.98,5732000
2011-03-08,85.220001,83.86,86.44,82.5,5365600
2011-03-09,83.5,84.52,84.63,82.21,4044000
2011-03-10,79.68,80.54,81.25,78.67,7287200
2011-03-11,81.010002,78.35,81.69,78.23,4272800
2011-03-14,80.220001,79.69,81.5,78.41,3288000
2011-03-15,76.940002,73.08,78.26,72.35,7827200
2011-03-16,71.290001,75.02,76.19,69.75,9032000
2011-03-17,73.150002,74.55,75.5,73.08,4853600
2011-03-18,72.75,75.71,75.74,72.6,4946400
2011-03-21,76.809998,75.94,78.0,75.62,3968800
2011-03-22,76.599998,77.17,77.4,76.0,2681600
2011-03-23,77.760002,75.66,78.44,74.12,4356000
2011-03-24,81.989998,79.58,82.48,78.22,5444000
2011-03-25,82.589996,82.81,84.2,82.25,6179200
2011-03-28,81.190002,83.71,83.72,81.09,3701600
2011-03-29,83.519997,80.7,83.54,79.86,2804000
2011-03-30,84.75,84.8,85.07,83.66,2814400
2011-03-31,85.110001,84.4,85.32,83.9,2351200
2011-04-01,85.239998,86.33,87.16,84.5,3148000
2011-04-04,84.470001,85.97,86.18,83.29,2600800
2011-04-05,83.510002,83.84,85.2,83.2,2247200
2011-04-06,84.139999,85.51,86.34,82.82,2766400
2011-04-07,84.120003,84.2,85.73,82.39,2997600
2011-04-08,82.860001,85.28,85.58,81.61,2102400
2011-04-11,82.110001,83.82,84.39,81.29,2336800
2011-04-12,80.489998,80.95,81.56,79.45,2773600
2011-04-13,82.410004,82.23,83.09,80.5,2952000
2011-04-14,81.959999,80.69,82.34,79.7,2828000
2011-04-15,81.43,81.0,82.5,79.98,6236800
2011-04-18,79.860001,79.07,79.9,75.84,5240000
2011-04-19,81.3,80.36,81.3,79.1801,558931
2011-04-20,86.709999,85.59,87.04,85.3,5464800
2011-04-21,88.910004,89.42,89.45,88.11,2707200
2011-04-25,89.57,89.23,89.7,88.62,1889600
2011-04-26,91.110001,90.3,92.0,89.75,1866400
2011-04-27,93.0,91.5,93.23,90.36,2611200
2011-04-28,92.860001,92.09,92.9,91.35,2751200
2011-04-29,92.410004,92.14,93.09,91.75,2184000
2011-05-02,91.910004,92.81,93.4,91.09,2244800
2011-05-03,90.529999,91.62,91.88,88.81,2175200
2011-05-04,90.0,90.52,91.29,87.86,3414400
2011-05-05,88.650002,88.68,91.79,87.67,3989600
2011-05-06,89.419998,91.35,92.79,88.71,3201600
2011-05-09,90.389999,89.84,91.49,88.89,1744800
2011-05-10,92.709999,91.28,93.1,90.79,2306400
2011-05-11,90.709999,92.43,93.31,88.84,2696000
2011-05-12,92.309998,89.76,92.69,88.31,2512000
2011-05-13,89.040001,91.69,92.11,88.95,3085600
2011-05-16,84.410004,87.87,88.57,83.82,3321600
2011-05-17,85.099998,83.14,85.15,82.63,3739200
2011-05-18,87.169998,84.79,87.67,84.44,1773600
2011-05-19,87.919998,88.18,88.51,86.42,2192800
2011-05-20,85.980003,87.62,87.96,85.66,1819200
